#{"t_start": 1774175377.4993713, "env_id": "None"}
r,l,t
-22.470209,24,5.366026
-53.748578,207,28.38094
-16.701152,10,31.683905
-22.695009,75,41.489439
-19.697028,13,45.092826
-30.022455,158,63.206017
-31.48673,138,79.31702
-41.696229,97,91.327086
-18.26256,36,97.212672
-18.439124,38,103.317017
-18.686545,16,107.220661
-39.68644,115,121.331019
-18.731862,11,124.734901
-18.496757,32,130.240521
-39.796837,105,143.050539
-17.57184,8,146.153373
-41.172001,215,169.968861
-30.052207,74,179.675966
-19.523268,40,185.980045
-44.250211,116,199.889038
-16.615829,6,202.791845
-18.322903,11,206.195239
-19.773334,62,214.702186
-36.566382,134,230.412423
-28.219232,104,243.122892
-33.100424,162,261.635795
-19.457827,24,266.339725
-49.19004,138,282.451113
-32.243428,79,292.623108
-67.184102,250,319.971236
-22.883681,40,326.278871
-34.842736,113,339.888557
-23.385331,87,350.897002
-20.390019,19,355.100262
-25.057529,38,361.206763
-24.762424,52,368.713212
-21.511979,24,373.416358
-17.331734,8,376.520221
-23.34792,53,384.124122
-41.190498,162,402.63644
-19.431882,44,409.340798
-19.874751,27,414.343294
-32.445721,70,423.649213
-28.868507,66,432.556581
-24.595148,66,441.462564
-48.009147,156,459.37415
-16.103798,20,463.67516
-28.76559,51,471.080432
-33.125192,160,489.392701
-23.380658,80,499.699999
-51.594915,158,517.810855
-61.027995,261,546.233713
-46.22091,140,562.543688
-20.832983,47,569.549197
-17.142089,9,572.751014
-19.768021,12,576.2538
-28.534147,85,587.060121
-33.413999,73,596.666364
-17.930189,13,600.267587
-32.224428,66,609.174828
-33.103359,69,618.379534
-17.468008,20,622.68256
-20.466085,27,627.685939
-20.588459,28,632.789613
-18.566047,44,639.497303
-36.526251,108,652.603924
-20.845796,87,663.612783
-16.315445,9,666.814573
-16.763131,5,669.619416
-18.201677,10,672.919208
-19.695733,31,678.321957
-24.799137,62,686.828241
-21.164129,38,693.232769
-68.024251,223,717.848533
-26.541753,115,731.95694
-48.38545,219,756.174439
-36.523517,131,771.583845
-18.721985,15,775.385567
-56.165353,177,795.400464
-25.488552,69,804.606885
-19.195514,49,811.810551
-20.583294,28,816.91453
-18.833171,30,822.218909
-26.153739,51,829.625896
-74.742648,266,858.549559
-20.412962,21,862.955262
-55.691819,167,881.974882
-34.480065,75,891.785215
-22.216437,43,898.394347
-19.763335,27,903.402827
-17.786413,8,906.504813
-17.604042,12,910.007583
-47.411116,111,923.419535
-20.746425,18,927.52581
-33.920964,73,937.132565
-17.976272,10,940.43606
-77.20927,328,975.575356
-32.181342,71,984.98317
-26.410289,50,992.290325
-20.250085,22,996.793699
-26.788327,140,1013.112472
-19.318006,12,1016.616753
-129.589049,374,1056.358877
-25.1195,61,1064.76731
-79.13938,259,1092.996462
-21.698983,38,1099.101007
-59.227885,208,1122.22174
-28.637986,62,1130.732896
-40.502747,139,1146.9546
-45.413898,186,1167.878197
-24.421334,33,1173.489305
-23.064412,75,1183.299633
-22.00331,47,1190.303545
-20.273484,27,1195.307842
-27.912548,60,1203.613726
-72.179022,292,1235.136701
-31.902469,48,1242.241295
-24.227959,37,1248.245015
-32.533047,96,1260.45175
-32.466565,116,1274.362686
-18.75229,25,1279.16718
-31.969773,66,1288.072062
-51.276626,189,1309.289791
-25.754041,59,1317.496774
-31.540067,62,1326.003142
-45.961567,191,1347.419343
-21.189476,37,1353.423625
-18.557512,12,1357.226011
-27.985844,54,1364.929723
-26.752019,90,1376.237033
