global_step,episode,episode_reward,episode_len,success,collision,mean_dist,final_dist
9743,118,-24.227959,37,0,1,14.216784,14.939253
9839,119,-32.533047,96,0,1,8.002285,8.452330
9955,120,-32.466565,116,0,1,2.057283,2.736255
9980,121,-18.752290,25,0,1,4.858583,4.595514
10046,122,-31.969773,66,0,1,11.607580,12.748296
10235,123,-51.276626,189,0,1,5.566048,6.563712
10294,124,-25.754041,59,0,1,3.116026,3.545396
10356,125,-31.540067,62,0,1,14.138032,15.371645
10547,126,-45.961567,191,0,1,2.582133,4.688463
10584,127,-21.189476,37,0,1,12.421748,12.366340
10596,128,-18.557512,12,0,1,11.969535,12.129510
10650,129,-27.985844,54,0,1,5.947224,6.838991
10740,130,-26.752019,90,0,1,10.763713,10.217455
10764,131,-21.920530,24,0,1,7.821280,7.788434
10945,132,-26.572946,181,0,1,7.390140,3.862471
10990,133,-20.442020,45,0,1,8.541847,8.104007
11056,134,-21.301872,66,0,1,9.328180,8.483097
11101,135,-21.488779,45,0,1,10.712144,10.271655
11193,136,-35.573032,92,0,1,7.371548,7.479269
11230,137,-25.673286,37,0,1,7.669333,8.399307
11242,138,-18.596829,12,0,1,5.721638,5.730394
11301,139,-23.700057,59,0,1,1.439788,0.997159
11573,140,-81.740722,272,0,1,5.922356,10.251578
11607,141,-22.390015,34,0,1,4.104081,4.341154
11690,142,-27.346461,83,0,1,9.451945,9.640548
11845,143,-38.648873,155,0,1,3.490833,3.667043
11852,144,-16.547139,7,0,1,11.257832,11.275195
11936,145,26.003438,84,1,0,2.120373,0.480558
11961,146,-17.880238,25,0,1,8.894413,8.508253
11999,147,-20.351680,38,0,1,12.019109,11.557537
12029,148,-20.306076,30,0,1,13.979064,13.994560
12259,149,-44.064746,230,0,1,11.709857,9.201152
12414,150,-33.875188,155,0,1,2.608696,1.867964
12428,151,-19.045680,14,0,1,9.910860,10.191483
12475,152,-27.501342,47,0,1,6.565135,7.429680
12534,153,-27.528910,59,0,1,3.018983,3.632827
12550,154,-17.946857,16,0,1,12.480583,12.258276
12647,155,-27.699982,97,0,1,1.333835,1.530868
12668,156,-20.625373,21,0,1,8.161456,8.465642
12838,157,-58.571390,170,0,1,7.728401,10.745899
12889,158,-28.654709,51,0,1,15.390669,16.091028
13031,159,-31.546742,142,0,1,5.150766,4.286055
13055,160,-21.651639,24,0,1,8.108879,8.557682
13196,161,-37.708326,141,0,1,1.754217,2.471219
13279,162,-26.139302,83,0,1,2.203847,1.709918
13369,163,-23.560489,90,0,1,2.267433,1.114484
13390,164,-23.157326,21,0,1,3.689495,3.896264
13476,165,-21.070420,86,0,1,9.411603,7.828183
13552,166,-30.404558,76,0,1,9.605648,10.195119
13613,167,-23.642443,61,0,1,7.620478,7.168197
13646,168,-23.426850,33,0,1,2.502089,3.022295
13764,169,-40.403253,118,0,1,4.685830,6.287972
13810,170,-20.378668,46,0,1,4.117808,3.660418
13905,171,-21.718595,95,0,1,12.474301,10.917207
13931,172,-20.475305,26,0,1,4.894903,4.838788
14075,173,-33.914726,144,0,1,2.809702,2.678611
14112,174,-19.798660,37,0,1,4.742599,4.122111
14121,175,-16.708241,9,0,1,2.954528,2.804653
14217,176,-21.612618,96,0,1,9.467014,7.667314
14274,177,-23.693646,57,0,1,5.132080,5.309530
14380,178,-27.191113,106,0,1,4.025413,3.850276
14413,179,-20.240539,33,0,1,6.108959,5.854265
14491,180,-26.531975,78,0,1,2.264229,2.095403
14515,181,-22.803586,24,0,1,6.510069,6.973364
14681,182,-32.836380,166,0,1,4.374099,1.594523
14688,183,-17.663272,7,0,1,12.223305,12.284734
14713,184,-21.464733,25,0,1,3.370286,3.542811
14772,185,-29.830809,59,0,1,8.385051,9.427764
14780,186,-16.999032,8,0,1,4.926692,4.970484
14824,187,-18.537487,44,0,1,8.255950,7.579142
15070,188,-76.015122,246,0,1,8.570267,13.010791
15164,189,-35.763018,94,0,1,5.540121,6.653688
15257,190,-38.655130,93,0,1,3.582475,5.029759
15319,191,-28.850176,62,0,1,6.212886,6.960747
15463,192,-25.170019,144,0,1,5.622617,2.784343
15724,193,-66.488772,261,0,1,6.112712,8.202135
15802,194,-29.370483,78,0,1,10.671032,10.757950
15809,195,-17.369516,7,0,1,12.392238,12.492655
15943,196,-27.768719,134,0,1,12.085606,9.953744
16026,197,-30.286724,83,0,1,3.571542,4.267532
16123,198,-24.792587,97,0,1,15.147706,13.912362
16174,199,-20.406391,51,0,1,6.111996,5.398706
16204,200,-19.491743,30,0,1,17.255810,16.962938
16253,201,-20.720579,49,0,1,6.715507,6.044368
16564,202,-73.730863,311,0,1,6.882583,10.050119
16605,203,-20.905569,41,0,1,12.069507,11.832403
16613,204,-16.507780,8,0,1,8.950972,8.760181
16624,205,-18.487148,11,0,1,15.826935,15.976679
16643,206,-19.419988,19,0,1,2.883147,3.112172
16675,207,-19.136826,32,0,1,11.003245,10.787754
16680,208,-16.770869,5,0,1,3.528675,3.562427
16745,209,-32.088236,65,0,1,5.457449,6.424971
17079,210,-65.454531,334,0,1,4.421289,5.569148
17145,211,-24.304133,66,0,1,4.042456,3.758269
17198,212,-23.470145,53,0,1,4.765811,4.741926
17570,213,-104.720920,372,0,1,7.741210,13.805089
17599,214,-18.992913,29,0,1,2.622605,2.125854
17692,215,-22.241643,93,0,1,4.478227,2.801243
17786,216,-29.941336,94,0,1,1.811517,1.135493
17857,217,26.451673,71,1,0,1.668181,0.490639
17977,218,-44.269258,120,0,1,5.559271,7.572581
18005,219,-23.825085,28,0,1,9.442942,9.869221
18071,220,-28.988121,66,0,1,6.058155,6.449213
18151,221,-29.606886,80,0,1,4.413149,4.561978
18196,222,-17.713526,45,0,1,4.065032,3.065876
18222,223,-21.869414,26,0,1,5.808191,6.297148
18230,224,-17.322654,8,0,1,9.712528,9.841288
18261,225,-24.438846,31,0,1,6.375430,6.534428
18305,226,-27.250350,44,0,1,4.427651,4.911850
18493,227,-55.685071,188,0,1,11.680493,13.864897
18529,228,-24.782700,36,0,1,6.322354,7.058496
18537,229,-18.180343,8,0,1,4.480670,4.550334
18707,230,-57.193166,170,0,1,6.134693,8.833889
18740,231,-22.942730,33,0,1,3.419730,3.908925
18857,232,-25.502930,117,0,1,5.701196,3.722365
18911,233,-28.432039,54,0,1,14.563472,15.323485
18923,234,-17.399515,12,0,1,6.492433,6.371793
19016,235,-23.657033,93,0,1,8.738153,7.700782
19035,236,-21.178178,19,0,1,3.859684,4.240867
19072,237,-24.562875,37,0,1,3.189637,3.875726
19122,238,-22.841134,50,0,1,2.925483,3.144748
19177,239,-31.906050,55,0,1,16.985762,17.430439
19677,240,-37.259530,500,0,0,8.992207,8.964565
19729,241,-20.105484,52,0,1,11.520314,10.767670
19940,242,-39.385135,211,0,1,8.274172,7.291817
19979,243,-20.147103,39,0,1,17.027599,16.527312
20140,244,-37.235596,161,0,1,3.421269,3.436154
20255,245,-45.804638,115,0,1,5.785841,7.884340
20290,246,-20.024032,35,0,1,4.778434,4.494014
20351,247,-27.003080,61,0,1,6.240976,6.796588
20420,248,-37.631273,69,0,1,8.588764,8.873992
20493,249,-33.278655,73,0,1,14.581739,15.668135
20525,250,-18.807581,32,0,1,4.877607,4.441919
20710,251,-59.449011,185,0,1,5.007329,7.898772
20770,252,-22.223367,60,0,1,9.464430,9.096806
20792,253,-21.990256,22,0,1,12.287930,12.600718
20822,254,-19.220519,30,0,1,6.526410,6.301102
20915,255,-20.818969,93,0,1,7.743209,6.220787
20962,256,-21.846509,47,0,1,12.179540,11.889930
21043,257,-33.455188,81,0,1,6.259164,7.431203
21082,258,-22.597161,39,0,1,4.975623,5.135107
21253,259,-43.331453,171,0,1,8.277193,9.800742
21263,260,-17.545626,10,0,1,3.614533,3.692700
21611,261,-71.564140,348,0,1,7.157112,7.489605
21847,262,-48.224040,236,0,1,2.607585,3.663106
21863,263,-19.842208,16,0,1,5.288247,5.540349
22101,264,-60.769831,238,0,1,8.845156,10.712185
22356,265,-63.060289,255,0,1,7.461705,10.195337
22372,266,-20.028891,16,0,1,8.052975,8.149284
22872,267,-60.606304,500,0,0,12.636785,6.610431
23316,268,-81.280922,444,0,1,6.398175,10.007090
23490,269,-47.453640,174,0,1,4.725076,6.026685
23496,270,-17.113240,6,0,1,11.408735,11.459182
23930,271,-9.230221,434,1,0,4.014361,0.488501
24430,272,-39.581786,500,0,0,6.566482,1.480142
24930,273,-97.135636,500,0,0,7.305799,13.463369
25038,274,25.003499,108,1,0,2.646811,0.471741
25538,275,-79.882360,500,0,0,5.710268,9.312354
25721,276,23.601276,183,1,0,4.536153,0.493532
25747,277,-20.291339,26,0,1,2.737816,2.689937
26247,278,-50.755032,500,0,0,3.683363,3.461633
26334,279,-24.167918,87,0,1,11.762107,10.663767
26834,280,-49.466145,500,0,0,8.252244,1.452408
26938,281,-23.444953,104,0,1,3.573560,2.266609
26952,282,-17.201587,14,0,1,11.258277,11.058596
27452,283,-56.697643,500,0,0,12.472902,8.647067
27767,284,-42.524609,315,0,1,4.723084,1.445367
27776,285,-18.368033,9,0,1,12.224003,12.295710
28276,286,-63.485095,500,0,0,4.273213,1.589519
28533,287,-40.873821,257,0,1,2.304587,1.592824
29032,288,-25.317919,499,1,0,3.592361,0.492731
29192,289,24.615129,160,1,0,3.702227,0.475520
29600,290,-0.914760,408,1,0,5.018857,0.479584
29752,291,-40.651764,152,0,1,4.964855,5.456914
29975,292,24.627862,223,1,0,4.708141,0.480445
30451,293,-6.027791,476,1,0,4.659598,0.499394
30629,294,21.172583,178,1,0,3.180083,0.476557
30821,295,-49.144242,192,0,1,6.954706,8.819064
31029,296,16.512379,208,1,0,3.989825,0.484606
31185,297,24.341361,156,1,0,4.116792,0.497993
31339,298,26.224514,154,1,0,3.302079,0.485302
31523,299,-36.955684,184,0,1,5.904122,5.706095
32012,300,-70.676082,489,0,1,2.742410,2.786137
32088,301,-25.042811,76,0,1,4.856541,4.271006
32408,302,-30.559733,320,0,1,6.909315,1.780483
32435,303,-18.521748,27,0,1,7.681165,7.226720
32538,304,-27.587299,103,0,1,5.144168,4.902456
32723,305,22.900325,185,1,0,3.753577,0.485300
32758,306,-22.997654,35,0,1,10.426892,10.598681
33045,307,17.942070,287,1,0,5.386642,0.469815
33403,308,-67.704125,358,0,1,2.667203,4.454867
33595,309,22.337190,192,1,0,4.285461,0.496648
33611,310,-17.551185,16,0,1,9.001604,8.823748
33696,311,-19.339321,85,0,1,2.694607,1.299613
34097,312,-64.030190,401,0,1,2.901263,3.087610
34241,313,28.392710,144,1,0,3.798766,0.487363
34475,314,25.993620,234,1,0,5.248934,0.462974
34496,315,-19.521089,21,0,1,7.333147,7.343024
34520,316,-19.690868,24,0,1,6.487922,6.450855
34640,317,-20.001491,120,0,1,4.282675,1.897001
34850,318,21.394423,210,1,0,4.464867,0.489703
34921,319,-18.917155,71,0,1,3.375232,1.776819
35044,320,28.890068,123,1,0,2.572992,0.492675
35137,321,30.249809,93,1,0,2.551932,0.441072
35212,322,28.204811,75,1,0,1.779388,0.485629
35712,323,-71.175001,500,0,0,3.456733,2.190857
36212,324,-58.475066,500,0,0,2.993021,3.474637
36234,325,-18.336909,22,0,1,14.773373,14.414361
36734,326,-138.694383,500,0,0,12.318652,12.312496
36979,327,-23.392560,245,0,1,12.233524,7.178437
37137,328,-15.672244,158,0,1,5.237029,1.373226
37495,329,27.479029,358,1,0,8.728047,0.485785
37661,330,22.784864,166,1,0,3.908774,0.475209
38105,331,-4.419159,444,1,0,2.555456,0.497579
38272,332,16.305425,167,1,0,3.316714,0.495481
38295,333,-20.683906,23,0,1,6.194419,6.161514
38342,334,-15.340365,47,0,1,5.827403,4.555154
38506,335,17.932446,164,1,0,2.348957,0.482362
38731,336,19.403774,225,1,0,2.912189,0.493046
38954,337,-17.814331,223,0,1,7.894105,2.447667
39173,338,24.513727,219,1,0,5.627354,0.493137
39594,339,18.650578,421,1,0,7.349000,0.469636
39680,340,-21.202405,86,0,1,7.602291,6.091909
39997,341,-29.306968,317,0,1,7.398438,1.204866
40497,342,-86.160579,500,0,0,2.369217,1.945502
40888,343,12.352337,391,1,0,7.068666,0.498538
41106,344,-36.152304,218,0,1,4.633147,3.255823
41159,345,28.148382,53,1,0,1.424738,0.483649
41355,346,-45.310773,196,0,1,8.052776,8.159281
41465,347,27.425004,110,1,0,3.374151,0.470145
41481,348,-17.698188,16,0,1,2.869458,2.532558
41506,349,-18.403841,25,0,1,5.185754,5.196581
41696,350,28.688545,190,1,0,4.669091,0.480772
41722,351,-21.692505,26,0,1,7.327355,7.323167
41739,352,-19.459107,17,0,1,5.620287,5.450825
41835,353,-23.655825,96,0,1,5.319350,3.967451
42182,354,21.774114,347,1,0,6.738928,0.459404
42682,355,-72.355968,500,0,0,9.233128,9.184550
42705,356,-17.425842,23,0,1,6.426151,6.164972
42847,357,-25.336901,142,0,1,7.242429,5.342016
42981,358,-54.161047,134,0,1,7.065645,7.102261
43068,359,26.455062,87,1,0,1.783099,0.496444
43201,360,24.715214,133,1,0,2.369097,0.496889
43228,361,-16.035006,27,0,1,5.460314,4.869436
43595,362,-70.055554,367,0,1,3.594047,3.483908
43738,363,34.692116,143,1,0,4.504377,0.458987
43793,364,-22.971877,55,0,1,8.153634,8.163998
44038,365,-43.749468,245,0,1,1.400007,1.693969
44133,366,-19.980542,95,0,1,4.604063,2.793607
44221,367,-15.687010,88,0,1,5.750780,4.003881
44340,368,28.938017,119,1,0,2.795280,0.484656
44481,369,29.062098,141,1,0,2.416733,0.491748
44629,370,24.897464,148,1,0,4.041872,0.482314
44815,371,29.478022,186,1,0,3.890999,0.499953
44980,372,-38.691154,165,0,1,4.073573,5.165698
45197,373,-15.551683,217,0,1,11.980744,6.363780
45306,374,23.933136,109,1,0,2.445435,0.492848
45503,375,-21.218462,197,0,1,6.053461,2.768514
45637,376,-25.313165,134,0,1,2.954059,1.604293
45871,377,-37.137617,234,0,1,4.407198,3.662735
46197,378,-44.485340,326,0,1,5.730031,5.811269
46287,379,-32.823381,90,0,1,16.948294,16.891885
46432,380,-18.008771,145,0,1,5.792677,2.725609
46564,381,29.374041,132,1,0,3.356972,0.488342
46576,382,-18.739958,12,0,1,4.168575,4.197626
46744,383,-20.713326,168,0,1,5.605847,2.609107
46898,384,23.335968,154,1,0,2.902960,0.481855
46973,385,-22.662840,75,0,1,11.367847,10.469940
47006,386,-22.410721,33,0,1,13.095535,13.239302
47042,387,-21.890062,36,0,1,11.698272,11.398916
47330,388,-68.566281,288,0,1,3.068106,3.304858
47395,389,-18.687864,65,0,1,1.966540,0.897625
47616,390,14.314401,221,1,0,2.707937,0.468793
47849,391,13.806443,233,1,0,2.460652,0.486349
48278,392,12.865006,429,1,0,5.547504,0.498131
48299,393,-20.182961,21,0,1,12.676853,12.736624
48312,394,-17.938202,13,0,1,8.717709,8.612395
48335,395,-18.775817,23,0,1,6.354708,6.349020
48748,396,-60.034873,413,0,1,6.719612,8.087699
48816,397,-24.097884,68,0,1,9.314802,9.288896
48825,398,-16.138906,9,0,1,12.500903,12.343351
49007,399,-46.993386,182,0,1,4.157495,4.787693
49194,400,-27.280114,187,0,1,4.146628,0.986081
49694,401,-37.680168,500,0,0,2.556704,1.771183
49881,402,-25.732952,187,0,1,5.427092,2.870906
50057,403,-39.075276,176,0,1,4.876908,5.255036
50125,404,-17.924866,68,0,1,7.559845,6.349800
50329,405,29.347166,204,1,0,4.967931,0.491715
50514,406,25.498038,185,1,0,3.470377,0.498553
50805,407,3.749140,291,1,0,3.835040,0.498426
51110,408,-52.636602,305,0,1,5.009618,7.112276
51420,409,-105.752112,310,0,1,8.623237,8.641201
51591,410,25.894508,171,1,0,3.679262,0.469399
52091,411,-60.314745,500,0,0,2.960663,4.327424
52289,412,22.341035,198,1,0,2.942241,0.493116
52467,413,26.136541,178,1,0,4.336201,0.439754
52483,414,-18.058748,16,0,1,9.193215,8.892861
52520,415,-20.092605,37,0,1,6.810251,6.441115
52634,416,15.019454,114,1,0,1.561972,0.488109
52953,417,-49.475431,319,0,1,3.344797,3.781116
53315,418,-7.942521,362,1,0,1.973016,0.456449
53353,419,-18.074471,38,0,1,7.289578,6.821012
53457,420,22.778004,104,1,0,2.526026,0.470130
53607,421,20.880863,150,1,0,2.861308,0.495487
53733,422,22.982975,126,1,0,2.471516,0.487300
53831,423,22.750452,98,1,0,1.549624,0.481643
54331,424,-31.180443,500,0,0,6.463712,4.362085
54431,425,24.785122,100,1,0,2.271990,0.483542
54733,426,2.468612,302,1,0,1.842606,0.486719
54744,427,-18.004731,11,0,1,14.170349,14.229769
54859,428,30.873716,115,1,0,3.798243,0.446990
55359,429,-59.554337,500,0,0,2.620475,2.347530
55621,430,-15.250921,262,0,1,5.922853,1.319006
55858,431,25.292006,237,1,0,4.761366,0.499849
56082,432,-35.915214,224,0,1,1.892356,1.485153
56210,433,23.238420,128,1,0,2.367477,0.488894
56286,434,29.081271,76,1,0,2.610104,0.441794
56296,435,-16.507910,10,0,1,8.459809,8.263186
56401,436,-16.161139,105,0,1,4.724169,2.362592
56526,437,26.481094,125,1,0,3.358829,0.499298
56720,438,-26.205352,194,0,1,9.966554,6.895829
56850,439,30.781651,130,1,0,3.729976,0.448280
56976,440,20.416862,126,1,0,1.585624,0.489945
57244,441,-47.331775,268,0,1,2.177842,2.132700
57521,442,30.331579,277,1,0,6.793772,0.491383
57551,443,-19.797565,30,0,1,3.902421,3.310389
57584,444,-16.876448,33,0,1,8.296132,7.652674
57689,445,30.551271,105,1,0,3.521722,0.488361
57835,446,26.169197,146,1,0,4.496021,0.496717
57843,447,-16.180507,8,0,1,12.204044,12.025693
58343,448,-12.283813,500,0,0,6.181158,3.218726
58656,449,-24.359005,313,0,1,9.332207,2.360737
58781,450,29.931267,125,1,0,3.987623,0.465643
58814,451,-21.404187,33,0,1,4.815013,4.853904
58889,452,29.104863,75,1,0,2.066585,0.494002
59080,453,33.777687,191,1,0,5.440188,0.476264
59360,454,-21.546605,280,0,1,9.074076,2.363952
59860,455,-64.842059,500,0,0,5.846887,7.064045
60149,456,24.062431,289,1,0,5.318012,0.487641
60523,457,-41.333905,374,0,1,2.982915,1.817142
60608,458,-17.737383,85,0,1,4.891486,2.783518
60884,459,13.276055,276,1,0,3.972301,0.490144
60981,460,-19.800245,97,0,1,3.074297,0.973774
61231,461,29.442885,250,1,0,6.226985,0.463137
61351,462,20.807938,120,1,0,2.762691,0.463777
61360,463,-17.940730,9,0,1,2.912922,2.945357
61544,464,34.757761,184,1,0,5.737405,0.450383
61754,465,19.271111,210,1,0,3.551565,0.495768
61887,466,30.148682,133,1,0,3.730393,0.492264
62387,467,-34.053532,500,0,0,3.387837,3.215168
62832,468,13.230723,445,1,0,7.516250,0.494377
63051,469,-30.121729,219,0,1,3.176730,1.986618
63246,470,17.122448,195,1,0,2.202763,0.496657
63446,471,-42.267947,200,0,1,4.978845,4.809538
63488,472,-18.648823,42,0,1,12.147996,11.704401
63690,473,-40.610766,202,0,1,4.073430,2.660645
64025,474,-23.232891,335,0,1,6.728636,0.726069
64178,475,29.362867,153,1,0,4.472203,0.485903
64274,476,23.682862,96,1,0,1.816376,0.492745
64535,477,-45.071223,261,0,1,3.700626,2.715699
64696,478,26.200926,161,1,0,3.430519,0.489481
64827,479,27.868397,131,1,0,2.857648,0.463407
64875,480,-16.279569,48,0,1,2.803107,1.593431
65184,481,4.369444,309,1,0,4.716677,0.481773
65242,482,-24.581597,58,0,1,11.907191,10.882153
65279,483,-20.214379,37,0,1,11.611545,11.599173
65512,484,22.028667,233,1,0,5.681990,0.468705
65516,485,-16.408418,4,0,1,9.978464,10.008576
65843,486,14.341051,327,1,0,5.822864,0.467057
66053,487,-28.367586,210,0,1,2.942119,1.796976
66428,488,-51.613814,375,0,1,3.081451,2.638253
66771,489,-39.141041,343,0,1,7.343208,6.110441
67047,490,-26.005685,276,0,1,9.124657,4.488374
67180,491,31.282612,133,1,0,3.575944,0.494067
67320,492,22.572890,140,1,0,2.000565,0.485345
67495,493,30.803082,175,1,0,3.478921,0.489797
67508,494,-17.249602,13,0,1,7.902563,7.560888
67750,495,20.858286,242,1,0,4.998052,0.485452
67899,496,22.057592,149,1,0,1.509634,0.498060
67936,497,-24.105210,37,0,1,15.303308,15.031403
68265,498,-26.331559,329,0,1,3.766772,1.291179
68447,499,25.481456,182,1,0,2.382528,0.497666
68546,500,-25.528709,99,0,1,4.695194,4.154786
69046,501,-24.716457,500,0,0,6.402340,2.569570
69533,502,-81.168786,487,0,1,2.812926,1.872401
69773,503,21.828249,240,1,0,2.050817,0.499819
69920,504,18.074094,147,1,0,2.239127,0.482433
70018,505,31.506086,98,1,0,2.834382,0.452948
70151,506,32.483067,133,1,0,4.390447,0.438367
70475,507,22.297900,324,1,0,5.973950,0.476488
70488,508,-20.298256,13,0,1,4.426765,4.454433
70561,509,30.153828,73,1,0,2.541486,0.485256
70927,510,3.110598,366,1,0,4.396442,0.460519
71003,511,28.609899,76,1,0,1.731819,0.486715
71333,512,9.965986,330,1,0,1.868295,0.499289
71695,513,-24.437102,362,0,1,7.783911,0.927132
72004,514,26.665219,309,1,0,7.631746,0.463097
72139,515,24.567573,135,1,0,3.208910,0.466749
72200,516,30.682705,61,1,0,2.399315,0.476967
72287,517,32.082440,87,1,0,2.673501,0.452599
72668,518,-6.467670,381,1,0,2.845516,0.451727
72847,519,-29.998023,179,0,1,2.311420,1.580262
73347,520,-76.226150,500,0,0,2.483981,4.091555
