#{"t_start": 1774317452.6745956, "env_id": "None"}
r,l,t
-20.941708,66,2679.60999
-22.136225,47,2686.614657
-19.938522,57,2694.620109
-23.775997,26,2699.823965
-22.273007,94,2711.534911
-21.059899,23,2716.13694
-75.728988,500,2768.471502
-20.007736,15,2772.274033
-25.343848,42,2778.779298
-16.639935,14,2782.482458
-18.589053,13,2786.087266
-21.341045,25,2790.88915
-47.762508,199,2813.103773
-58.199708,236,2839.022719
-60.196429,257,2867.04198
-19.523848,48,2874.147098
-28.21445,57,2882.45355
-19.377693,15,2886.256969
-23.116225,28,2891.36087
-60.849721,276,2921.26317
-72.568123,500,2973.899604
-92.903813,402,3016.427764
-70.484241,396,3058.360821
-56.242438,317,3092.383075
-24.020658,146,3109.294579
-19.890992,46,3116.499516
14.997487,183,3137.114304
-20.408413,22,3141.617967
-63.831216,500,3193.953969
-23.954564,213,3217.869394
-30.642835,485,3268.702065
-68.514036,411,3312.151155
2.066377,354,3349.893253
-31.254891,100,3362.20621
-28.712941,42,3368.709949
-1.723319,405,3411.551377
-44.253678,216,3435.470303
6.554156,238,3461.587302
-73.910037,500,3513.921569
-65.78796,500,3566.255378
21.392032,140,3582.566466
-30.809043,104,3595.275789
-30.876241,101,3607.68374
-64.235273,500,3660.018491
-16.820406,19,3664.202621
-29.667747,116,3678.112034
28.702914,77,3688.119694
-70.088002,500,3740.456477
-24.848863,86,3751.363607
-34.545516,167,3770.377614
30.805074,76,3780.28537
-29.25735,73,3789.892287
3.234233,330,3825.217026
-49.57885,500,3877.551989
-25.566516,48,3884.657275
18.796469,186,3905.573491
23.916796,126,3920.484374
18.450235,119,3934.696254
-24.338274,441,3981.127011
-19.915446,44,3987.832481
20.637169,187,4008.846906
19.096004,151,4026.259192
-39.802454,244,4052.976084
-18.371123,35,4058.779829
-5.867435,411,4102.208092
-19.545765,41,4108.912728
-28.311125,79,4119.100469
-16.550514,12,4122.603449
-69.036224,382,4163.129602
28.669847,195,4185.244528
27.602385,216,4209.161373
-66.185614,500,4261.494971
21.638246,79,4271.702499
25.134277,187,4292.717044
-24.233427,79,4302.923521
-2.699078,270,4332.243471
-21.755207,145,4349.036805
14.680657,244,4375.772781
19.393181,338,4411.894547
-16.936297,57,4419.880545
-26.916797,131,4435.309573
19.666381,165,4454.102338
-65.699281,273,4483.750817
-52.184308,345,4520.590262
-20.077948,38,4526.694326
-32.548857,91,4538.101581
-45.480742,255,4565.919405
17.319768,124,4580.629827
30.885567,99,4592.837903
-75.174541,500,4645.170898
-18.764907,50,4652.476193
-71.674317,500,4704.808084
16.918579,148,4721.918776
-23.456314,31,4727.322395
-26.106351,76,4737.230053
26.51732,50,4744.533941
-17.048957,59,4752.739966
-44.429701,500,4805.079737
-24.321089,150,4822.390227
26.753102,60,4830.697184
-37.663104,400,4873.024359
5.524186,302,4905.548073
-25.489982,104,4918.255761
-46.457442,500,4970.590114
-38.862657,500,5022.925722
-21.475628,163,5041.537506
25.273218,166,5060.450115
-13.892543,144,5077.162747
-47.338843,197,5099.176577
-40.040686,346,5136.099823
-20.525734,225,5160.915624
-25.222022,44,5167.619187
-63.465981,500,5219.95466
-28.265994,224,5244.672042
29.254034,108,5257.781329
-47.644533,398,5299.920363
-40.516533,186,5320.84184
-25.073658,61,5329.248494
28.08496,75,5339.059512
-28.317769,233,5364.984558
-21.878043,46,5371.889281
-21.606413,29,5377.092973
20.40766,226,5402.02194
-50.186599,361,5440.45686
28.66141,145,5457.572627
-25.179688,63,5466.18105
-34.274319,336,5502.113285
-17.03263,31,5507.521221
33.846544,216,5531.436705
25.242251,82,5541.941769
26.681561,99,5554.149399
19.195032,231,5579.564592
-36.285193,232,5605.08185
34.080921,200,5627.394206
28.522424,211,5650.80863
31.888059,194,5672.522649
-35.441378,130,5687.833495
-141.282299,500,5740.164858
25.966671,119,5754.373478
-24.06678,328,5789.497111
24.096087,98,5801.603936
-16.947806,91,5813.011096
-24.389932,29,5818.21397
24.302887,249,5845.432941
24.884588,315,5879.252144
-14.416571,172,5898.76612
12.95166,210,5922.079628
20.892404,217,5946.095928
-19.734898,22,5950.598497
30.869245,100,5962.907869
20.175474,139,5979.118865
-18.468305,11,5982.521499
27.114656,109,5995.729222
25.14248,139,6012.240428
-18.527836,286,6043.160698
19.839134,225,6067.974307
9.504864,278,6098.093447
23.196711,178,6118.207697
-33.46831,216,6142.124836
29.598232,93,6153.73133
26.279014,120,6168.042285
23.7471,196,6189.954715
31.22647,131,6205.365501
-27.817535,54,6213.070871
-24.346122,163,6231.683198
25.854326,240,6257.998784
24.020863,139,6274.21006
-26.316604,81,6284.616975
-56.752152,422,6329.145046
-18.350634,14,6332.847646
24.773855,222,6357.364512
-17.480047,18,6361.466269
-71.493061,239,6387.681062
36.46431,158,6405.792497
-22.959638,70,6415.098172
-23.11182,220,6439.4138
-32.862865,500,6491.750248
28.775046,81,6502.156905
-22.47107,71,6511.562095
27.514202,82,6522.070128
-11.4238,128,6537.178863
-22.459724,24,6541.881774
33.442086,144,6558.591518
23.674206,356,6596.514088
23.259958,113,6610.122295
-143.846295,462,6658.654244
28.897108,155,6676.46499
-20.239468,109,6689.672434
35.38145,98,6701.780796
38.148923,179,6722.293941
-11.377337,137,6738.303147
26.531864,253,6765.921207
31.952707,85,6776.727808
-23.277747,76,6786.634765
-20.520621,38,6792.739042
24.885409,79,6802.946692
34.210426,142,6819.457174
24.64097,76,6829.361769
-47.165253,265,6858.180587
35.243844,196,6880.095837
24.157325,130,6895.404994
-18.554641,33,6901.009143
33.667192,124,6915.717845
32.27423,57,6923.723588
-22.283354,27,6928.727702
23.299017,80,6939.033748
15.433108,259,6967.252506
-18.200015,22,6971.757056
-36.668184,370,7011.086817
35.811156,84,7021.79443
30.107328,120,7036.105918
-17.251723,52,7043.613446
-25.561136,148,7060.725185
32.234306,187,7081.739548
13.905323,170,7101.354085
31.986634,164,7120.066332
29.341117,128,7135.18012
22.405486,163,7153.79937
-22.974099,50,7161.092091
32.233831,114,7174.810979
-21.395643,129,7190.32727
-23.511197,51,7197.737537
-18.206565,15,7201.543701
-61.251275,171,7220.959932
28.69163,66,7229.874531
29.354246,95,7241.688545
30.253198,39,7247.89804
28.984116,80,7258.21388
29.958605,132,7273.734846
24.58332,137,7289.756344
38.088404,193,7311.382405
-34.186637,165,7330.206132
-16.407822,124,7344.92519
31.833659,188,7366.046526
33.004432,181,7386.465045
34.624175,140,7402.774921
-18.905514,29,7407.980246
32.891553,37,7413.984816
-18.566252,9,7417.186343
-17.416565,23,7421.770773
33.652493,120,7436.080638
31.321593,25,7440.884005
-19.640318,190,7462.200884
-51.701481,277,7492.221399
-20.878128,66,7501.129367
20.240435,270,7530.452238
34.419039,171,7549.866303
23.254958,310,7583.188154
38.807955,245,7610.006208
25.915862,197,7632.020993
31.793499,241,7658.437047
-23.358271,207,7681.451772
27.552805,126,7696.361387
35.703499,147,7713.373911
27.636791,178,7733.486861
29.889629,123,7748.096131
-18.98206,49,7755.300508
-22.317091,153,7772.910689
-90.02447,500,7825.244337
-19.94202,52,7832.730152
-24.571584,90,7844.037508
31.283994,101,7856.446999
