global_step,episode,episode_reward,episode_len,success,collision,mean_dist,final_dist
20,1,-20.204511,20,0,1,15.302779,15.571802
46,2,-20.267493,26,0,1,10.258942,10.244157
245,3,-62.694210,199,0,1,5.571936,9.222995
255,4,-17.778285,10,0,1,2.713001,2.813842
305,5,-20.172040,50,0,1,6.565133,5.781748
333,6,-23.065427,28,0,1,3.819186,4.135949
401,7,-31.039328,68,0,1,7.559926,8.674109
677,8,-56.958229,276,0,1,2.483722,3.047418
995,9,-48.830340,318,0,1,7.239650,5.646526
1146,10,-44.022245,151,0,1,7.319627,9.228320
1280,11,-46.850632,134,0,1,9.192164,11.324099
1319,12,-21.343621,39,0,1,2.128712,2.202431
1406,13,-23.300827,87,0,1,11.576318,10.492096
1679,14,-52.076628,273,0,1,5.570103,5.626967
1942,15,-69.836437,263,0,1,11.176886,14.075753
2019,16,-25.138162,77,0,1,13.268760,12.689510
2063,17,-20.477611,44,0,1,6.591494,6.223805
2080,18,-19.834855,17,0,1,10.464982,10.662972
2156,19,-32.126576,76,0,1,11.835557,12.774813
2246,20,-35.343998,90,0,1,16.412102,17.175354
2272,21,-23.225043,26,0,1,8.376217,8.795463
2320,22,-25.636392,48,0,1,8.777139,9.080099
2364,23,-19.054483,44,0,1,8.207133,7.554186
2397,24,-19.782217,33,0,1,11.820432,11.383539
2505,25,-23.185031,108,0,1,10.123088,8.124489
2542,26,-21.479761,37,0,1,9.385451,9.243566
2578,27,-27.837954,36,0,1,11.127860,11.642675
2719,28,-49.782196,141,0,1,9.714910,12.226622
2759,29,-22.480301,40,0,1,10.629989,10.643433
2786,30,-20.950247,27,0,1,4.816639,4.909138
2804,31,-19.790533,18,0,1,10.226997,10.390075
2888,32,-30.001940,84,0,1,11.726284,12.141905
3063,33,-51.194645,175,0,1,6.957071,8.808396
3096,34,-20.082502,33,0,1,15.959171,15.806835
3288,35,-50.421611,192,0,1,5.599534,6.972961
3372,36,-22.615297,84,0,1,8.490004,7.690054
3405,37,-19.101249,33,0,1,10.965557,10.567219
3622,38,-64.296273,217,0,1,9.898741,13.132184
3657,39,-18.860715,35,0,1,13.701199,13.304773
3731,40,-30.717143,74,0,1,5.398660,6.477538
3877,41,-28.210568,146,0,1,2.379343,1.074005
3890,42,-18.672928,13,0,1,4.387416,4.631378
3978,43,-22.950511,88,0,1,11.575747,10.239676
4088,44,-28.302445,110,0,1,8.825974,8.185810
4150,45,-27.765703,62,0,1,7.163578,7.464085
4247,46,-36.557531,97,0,1,2.055449,2.779209
4279,47,-22.264649,32,0,1,2.458086,2.620721
4779,48,-142.003955,500,0,0,2.749152,2.744027
4834,49,-29.944552,55,0,1,8.649452,9.411375
4959,50,-23.988306,125,0,1,11.909588,9.809309
4987,51,-22.853825,28,0,1,6.078237,6.574256
5068,52,-37.961893,81,0,1,6.260574,7.708490
5299,53,-67.711348,231,0,1,6.787201,10.655980
5453,54,-50.557779,154,0,1,4.023240,6.806305
5583,55,17.897107,130,1,0,2.851235,0.467985
5747,56,-50.810092,164,0,1,7.553801,9.483005
5840,57,-30.507583,93,0,1,4.950686,5.352440
5998,58,-48.880922,158,0,1,13.020755,14.290838
6011,59,-18.137281,13,0,1,6.212050,6.275290
6106,60,-21.641519,95,0,1,6.552667,5.055375
6169,61,-22.580013,63,0,1,9.371548,8.519100
6249,62,-22.657853,80,0,1,5.073148,4.057688
6317,63,-20.923426,68,0,1,9.844145,8.805185
6416,64,-35.634045,99,0,1,8.820150,9.908105
6462,65,-20.806072,46,0,1,14.147271,13.745648
6578,66,-42.214795,116,0,1,12.131330,13.736460
6601,67,-20.365724,23,0,1,3.719305,3.863449
6626,68,-21.801335,25,0,1,10.018312,10.243146
6633,69,-17.274258,7,0,1,2.163408,2.097755
6675,70,-21.154091,42,0,1,3.421641,3.364591
6694,71,-18.112643,19,0,1,8.080220,7.963678
6752,72,-30.661464,58,0,1,5.346804,6.178914
6790,73,-27.560593,38,0,1,7.387496,7.807596
6811,74,-21.605040,21,0,1,14.994751,15.240118
7080,75,-70.834664,269,0,1,7.171690,8.924078
7144,76,-32.437704,64,0,1,8.777993,9.991734
7182,77,-24.650586,38,0,1,2.471533,3.038306
7205,78,-22.703450,23,0,1,12.043716,12.275947
7303,79,-28.832078,98,0,1,6.889533,6.641199
7393,80,-29.214432,90,0,1,4.534063,3.888734
7404,81,-16.649938,11,0,1,13.041787,12.829969
7485,82,-29.866770,81,0,1,8.694176,9.179205
7662,83,-50.840455,177,0,1,3.549334,5.137144
7744,84,-37.909082,82,0,1,12.370424,13.323446
7777,85,-20.025126,33,0,1,3.174755,3.038202
7938,86,-45.132355,161,0,1,11.379952,11.781763
7946,87,-16.982176,8,0,1,5.315819,5.311173
7969,88,-21.017731,23,0,1,6.071159,6.258372
7986,89,-21.035991,17,0,1,8.032527,8.060824
8131,90,-34.334822,145,0,1,1.696818,2.079072
8147,91,-16.685789,16,0,1,4.653144,4.367247
8209,92,-21.492754,62,0,1,6.232940,5.629729
8250,93,-19.416083,41,0,1,6.331290,6.016039
8407,94,-48.247138,157,0,1,2.278984,4.219777
8426,95,-18.167074,19,0,1,7.963795,7.995713
8607,96,-54.122171,181,0,1,4.756599,6.356806
8793,97,-54.937212,186,0,1,10.206870,12.484189
8879,98,-27.378336,86,0,1,1.088473,1.137074
8976,99,-31.711876,97,0,1,5.662966,6.309272
9020,100,-21.406998,44,0,1,3.376923,3.276092
9105,101,-30.317256,85,0,1,7.126013,6.775327
9200,102,-27.725016,95,0,1,4.834364,4.503829
9290,103,-28.708365,90,0,1,7.755889,7.453119
9372,104,-26.684260,82,0,1,9.860359,9.632814
9647,105,-65.643320,275,0,1,3.960765,7.054446
10147,106,-101.289703,500,0,0,11.116960,11.386275
10211,107,-30.745874,64,0,1,17.192539,18.062563
10711,108,-119.830603,500,0,0,3.361820,3.541055
11062,109,-60.552502,351,0,1,4.917240,5.915328
11096,110,-24.824003,34,0,1,8.457070,8.994620
11132,111,-22.534576,36,0,1,7.183285,7.515676
11187,112,-22.943964,55,0,1,3.808378,2.830685
11287,113,-25.042815,100,0,1,12.529634,11.297396
11474,114,-49.934397,187,0,1,4.794278,6.638245
11552,115,-28.031658,78,0,1,3.447417,3.698933
11683,116,-43.454687,131,0,1,6.159998,7.937849
11884,117,-52.479008,201,0,1,5.068684,6.547658
11948,118,-22.677460,64,0,1,10.597461,9.667084
11966,119,-21.282073,18,0,1,11.336032,11.535521
11975,120,-16.276440,9,0,1,13.090055,12.892679
12129,121,-40.951335,154,0,1,3.024738,4.090061
12144,122,-18.043217,15,0,1,9.896545,9.862043
12226,123,-26.254241,82,0,1,4.415600,4.042765
12255,124,-21.562018,29,0,1,13.642163,13.807797
12350,125,-28.858835,95,0,1,4.197687,4.322682
12367,126,-20.237152,17,0,1,16.019173,16.181109
12458,127,-21.762652,91,0,1,6.512369,4.814570
12504,128,-19.537492,46,0,1,4.961246,4.334681
12579,129,-34.862747,75,0,1,10.552841,12.010849
12747,130,-40.126559,168,0,1,3.884491,4.112883
12867,131,-29.726104,120,0,1,7.399659,6.941381
12916,132,-27.084394,49,0,1,12.025416,12.866587
12969,133,-28.816512,53,0,1,6.787446,7.760491
12988,134,-20.169069,19,0,1,7.551126,7.720739
13306,135,-82.162178,318,0,1,7.455509,9.029170
13361,136,-29.849561,55,0,1,12.447225,13.259292
13438,137,-33.023666,77,0,1,4.812284,5.785525
13471,138,-18.722522,33,0,1,5.071919,4.584521
13515,139,-24.856379,44,0,1,10.503568,10.689920
13594,140,-19.717766,79,0,1,12.135502,10.537942
13642,141,-20.623295,48,0,1,5.961258,5.079284
13718,142,-31.945881,76,0,1,8.166035,9.091498
13949,143,-58.770745,231,0,1,6.872279,9.728086
14019,144,-31.360242,70,0,1,3.758679,4.968745
14113,145,-38.335497,94,0,1,13.045466,14.573077
14325,146,-60.240483,212,0,1,9.833565,12.720670
14594,147,-84.073042,269,0,1,10.884360,15.977652
14603,148,-18.622210,9,0,1,5.255621,5.389358
14754,149,-43.621864,151,0,1,10.155079,11.007359
14830,150,-33.542997,76,0,1,6.591789,7.732949
14846,151,-19.797045,16,0,1,9.357549,9.510609
14874,152,-19.982615,28,0,1,18.397741,18.378782
15043,153,-43.479118,169,0,1,1.862466,3.615669
15074,154,-19.717083,31,0,1,2.617332,2.170224
15156,155,-33.790972,82,0,1,7.784892,8.805328
15170,156,-17.620609,14,0,1,12.145715,11.956905
15291,157,-44.363977,121,0,1,10.744063,12.546711
15441,158,-52.578945,150,0,1,11.026170,13.692112
15466,159,-20.643187,25,0,1,2.904286,3.012608
15549,160,-29.468762,83,0,1,3.297284,4.042631
15613,161,-31.640988,64,0,1,12.331140,13.489333
15825,162,-55.558307,212,0,1,4.796073,4.911173
15992,163,-53.708509,167,0,1,5.672785,8.097588
16125,164,-47.407085,133,0,1,11.057545,13.099380
16200,165,24.430615,75,1,0,1.679080,0.465636
16222,166,-17.075278,22,0,1,9.081276,8.721487
16335,167,-41.616137,113,0,1,9.288405,10.954790
16671,168,-62.909310,336,0,1,3.785040,6.031521
16733,169,-23.853124,62,0,1,11.104026,10.520845
16739,170,-16.109863,6,0,1,4.860084,4.808574
16877,171,-50.640114,138,0,1,13.856357,16.644002
16974,172,-33.268983,97,0,1,4.874640,5.607623
16982,173,-16.937177,8,0,1,9.346828,9.386829
16994,174,-17.089248,12,0,1,3.433942,3.226365
17196,175,-63.207540,202,0,1,9.712045,13.164403
17234,176,-20.814831,38,0,1,2.971007,3.039367
17311,177,-35.160253,77,0,1,8.650694,9.401474
17349,178,-18.746639,38,0,1,5.477117,4.766700
17690,179,-56.027383,341,0,1,3.480106,4.271550
17727,180,-20.610936,37,0,1,14.192925,13.940432
17771,181,-22.293229,44,0,1,6.381493,6.343229
17812,182,-25.159096,41,0,1,16.131176,16.808081
17904,183,-33.880853,92,0,1,10.416849,11.116801
